Word1	Flag1	Word2	Flag2	MI	logDF
北京	ns	时间	n	10.24951677	6.700439718
本季度	n	运营	vn	4.635770908	6.95419631
本文	r	来源	n	9.348284444	8.654636029
部分	n	抵消	v	10.39488584	6.06608919
财报	n	显示	v	7.118804723	7.21916852
财报	n	数据	n	7.011171746	6.977279923
财报	n	全文	n	8.245734213	6.129283017
存托	v	凭证	n	9.818437929	7.209453366
第三季度	mq	财报	n	3.983175247	6.169925001
非	h	美国通用	nt	8.264495735	6.50779464
费用	n	支出	v	4.930166935	6.727920455
付费	v	用户	n	8.060147172	6.285402219
个	m	百分点	m	9.870065963	6.807354922
公布	v	截至	v	6.61844262	6.285402219
公司	n	预计	vn	5.371698083	6.14974712
广告	n	收入	v	5.27608471	6.714245518
环比	j	增长	v	4.814172357	8.238404739
环比	j	下降	v	5.000946545	7.14974712
环比	j	减少	v	5.095033341	6.614709844
环比	j	下滑	v	4.941726074	6.022367813
基本	n	持平	n	9.33698115	6.584962501
季节性	n	因素	n	10.91875308	6.247927513
减少	v	了	ul	3.979423755	6.14974712
较	zg	去年同期	n	6.637953115	7.055282436
截至	v	2011	m	5.343960862	6.285402219
截至	v	2009	m	6.770883849	6.209453366
截至	v	2010	m	5.793191698	6.14974712
截至	v	2012	m	5.52678535	6.129283017
今日	t	公布	v	8.795593796	6.087462841
今天	t	公布	v	9.355800197	7.022367813
净营	n	收	n	8.354161719	7.375039431
净营	n	收为	v	7.690474096	6.768184325
看	v	新闻	n	11.14891354	7.22881869
科技	n	讯	ng	8.20565673	8.845490051
科技	n	报道	v	8.085620604	8.810571635
论坛	n	　	x	8.616979782	6.672425342
每股	r	美国	ns	7.902788143	6.794415866
美国	ns	存托	v	8.989483471	7.459431619
美国通用	nt	会计准则	n	8.936861332	7.129283017
年	m	第四季度	l	5.274214251	7.832890014
年	m	第二季度	mq	4.980122703	7.54689446
年	m	第三季度	mq	4.973679465	7.54689446
年	m	第一季度	l	4.881811317	7.426264755
年	m	同期	b	5.230671909	6.339850003
去年同期	n	增长	v	3.055894902	6.87036472
去年同期	n	分别	d	6.071549249	6.392317423
日	m	消息	n	7.684872764	8.519636253
上	v	季度	n	7.506863463	6.714245518
上	v	一季度	mq	6.680263976	6.491853096
审计	v	财报	n	6.835184553	6.14974712
收为	v	人民币	n	4.26063323	6.022367813
手机	n	看	v	10.88255878	7.22881869
首席	n	执行官	n	11.31486376	6.965784285
数据	n	显示	v	9.093261478	7.64385619
摊	n	薄	a	9.922103897	6.714245518
同比	j	增长	v	5.08433015	8.73470962
同比	j	增	v	6.340436589	7.599912842
同比	j	下降	v	4.204102435	7.189824559
同比	j	减少	v	4.572521925	6.64385619
同比	j	下滑	v	4.402025324	6.044394119
同期	b	增长	v	3.985228699	6.044394119
万元	m	人民币	n	4.575438837	6.658211483
网易	n	科技	n	8.238885535	8.977279923
网友	n	评论	n	11.237258	6.965784285
未经	d	审计	v	10.90390064	7.651051691
无线	n	增值	v	8.853189366	6.321928095
下降	v	了	ul	4.211783432	6.426264755
现金	n	等价物	l	8.938658076	7.781359714
相比	v	上个季度	l	7.717000305	6.569855608
相关	v	报道	v	7.165433784	7.651051691
详	ag	讯	ng	9.694845519	6.977279923
新	a	游戏	n	5.932796558	6.087462841
新闻	n	网易	n	7.633059253	7.098032083
研发	j	费用	n	6.613739484	6.569855608
业绩	n	展望	v	8.506937243	6.62935662
一季度	mq	增长	v	3.53532651	6.409390936
亿元	m	人民币	n	4.838255262	7.426264755
营	n	收为	v	8.849197968	7.169925001
营业	n	收入	v	6.801533776	6.727920455
游戏	n	收入	v	4.137153353	6.321928095
元	m	人民币	n	5.277411055	6.768184325
原因	n	是	v	7.146291351	6.794415866
运营	vn	利润	n	6.911723764	8.330916878
运营	vn	利润率	n	6.730541891	7.965784285
运营	vn	费用	n	5.286440277	7.888743249
运营	vn	费用率	n	7.166237982	6.781359714
运营	vn	亏损	vn	5.769476247	6.392317423
运营	vn	支出	v	4.345004748	6.108524457
在线	b	游戏	n	7.150288214	6.357552005
增加	v	了	ul	4.174883849	6.375039431
增长	v	主要	b	3.541665927	7.807354922
增长	v	了	ul	3.067638815	7.108524457
增值	v	服务	vn	7.837377764	7.14974712
这	r	一	m	10.12083921	6.569855608
中国	ns	大陆	n	9.634711051	6.169925001
主要	b	原因	n	6.768545485	6.882643049
主要	b	得益于	v	6.898737146	6.357552005
主要	b	来自	v	4.609001816	6.169925001
注册	v	用户	n	8.675605277	6.022367813
总营	n	收	n	8.3770961	7.62935662
总营	n	收为	v	7.278108553	6.894817763
